id_localisation,tag,note
1055666,arrivo_venezia,
1056011,arrivo_venezia,
1055861,arrivo_venezia,
1055938,arrivo_venezia,
1056160,arrivo_venezia,
1056272,arrivo_venezia,
1056477,arrivo_venezia,
1056500,arrivo_venezia,
1056713,arrivo_venezia,
1056770,arrivo_venezia,
1056922,arrivo_venezia,
1057059,arrivo_venezia,
1057340,arrivo_venezia,
1057446,arrivo_venezia,
1057457,arrivo_venezia,
1057474,arrivo_venezia,
1057677,arrivo_venezia,
1057691,arrivo_venezia,
1340508,arrivo_venezia,
1057977,arrivo_venezia,
1057982,arrivo_venezia,
1058201,arrivo_venezia,
1058271,arrivo_venezia,
1058308,arrivo_venezia,
1058331,arrivo_venezia,
1058638,arrivo_venezia,
1058670,arrivo_venezia,
1058699,arrivo_venezia,
1058826,arrivo_venezia,
1058858,arrivo_venezia,
1058878,arrivo_venezia,
1059073,arrivo_venezia,
1059107,arrivo_venezia,
1059304,arrivo_venezia,
1059784,arrivo_venezia,
1060049,arrivo_venezia,
1060085,arrivo_venezia,
1060280,arrivo_venezia,
1060298,arrivo_venezia,
1060315,arrivo_venezia,
1060501,arrivo_venezia,
1060551,arrivo_venezia,
1060694,arrivo_venezia,
1060748,arrivo_venezia,
1060787,arrivo_venezia,
1060905,arrivo_venezia,
1061142,arrivo_venezia,
1061696,arrivo_venezia,
1061728,arrivo_venezia,
1061753,arrivo_venezia,
1061868,arrivo_venezia,
1061884,arrivo_venezia,
1062108,arrivo_venezia,
1062210,arrivo_venezia,
1062339,arrivo_venezia,
1062418,arrivo_venezia,
1062456,arrivo_venezia,
1062616,arrivo_venezia,
1062754,arrivo_venezia,
1062887,arrivo_venezia,
1062944,arrivo_venezia,
1063102,arrivo_venezia,
1063138,arrivo_venezia,
1063285,arrivo_venezia,
1063328,arrivo_venezia,
1063363,arrivo_venezia,
1064710,arrivo_venezia,
1064817,arrivo_venezia,
1065046,arrivo_venezia,
1065157,arrivo_venezia,
1065390,arrivo_venezia,
1065595,arrivo_venezia,
1065640,arrivo_venezia,
1065835,arrivo_venezia,
1065887,arrivo_venezia,
1065921,arrivo_venezia,
1066041,arrivo_venezia,
1066249,arrivo_venezia,
1066270,arrivo_venezia,
1066346,arrivo_venezia,
1066445,arrivo_venezia,
1066519,arrivo_venezia,
1066546,arrivo_venezia,
1066767,arrivo_venezia,
1067025,arrivo_venezia,
1067067,arrivo_venezia,
1067619,arrivo_venezia,
1067627,arrivo_venezia,
1067590,abitazione_venezia,verifica datazione (ast-->b)
1067633,arrivo_venezia,
1067778,arrivo_venezia,
1067846,arrivo_venezia,
1067982,arrivo_venezia,
1068020,arrivo_venezia,
1068068,arrivo_venezia,
1068175,arrivo_venezia,
1068356,arrivo_venezia,
1068482,arrivo_venezia,
1068476,arrivo_venezia,
1068573,arrivo_venezia,
1068635,arrivo_venezia,
1069055,arrivo_venezia,
1069114,arrivo_venezia,
1069172,arrivo_venezia,
1069283,arrivo_venezia,
1069390,arrivo_venezia,
1069540,arrivo_venezia,
1069602,arrivo_venezia,
1069631,arrivo_venezia,
1069663,arrivo_venezia,
1069796,arrivo_venezia,
1070251,arrivo_venezia,
1070383,arrivo_venezia,
925111,arrivo_venezia,
1070561,arrivo_venezia,
1070773,arrivo_venezia,
1070915,arrivo_venezia,verifica datazione (ast-->b)
1071045,arrivo_venezia,
1071112,arrivo_venezia,
1071150,arrivo_venezia,
1071187,arrivo_venezia,
1071290,arrivo_venezia,
1071486,arrivo_venezia,
1071679,arrivo_venezia,
1071817,arrivo_venezia,
1071912,arrivo_venezia,
1071969,arrivo_venezia,
1072286,arrivo_venezia,
1072537,arrivo_venezia,
1764570,arrivo_venezia,
1072608,arrivo_venezia,
1072914,arrivo_venezia,
1072971,arrivo_venezia,
1073103,arrivo_venezia,
1073325,arrivo_venezia,
1073411,arrivo_venezia,
1073461,arrivo_venezia,
1073507,arrivo_venezia,
1073540,arrivo_venezia,
1073679,arrivo_venezia,
1073901,arrivo_venezia,
1074023,arrivo_venezia,
1810547,abitazione_venezia,Errore - unificare
1074164,arrivo_venezia,
1074315,arrivo_venezia,
1074515,arrivo_venezia,
1074698,arrivo_venezia,
1074841,arrivo_venezia,
1074999,arrivo_venezia,
1075143,arrivo_venezia,
