id_localisation|pk_person|person|geographical_place|GP_type|lat|lon|localisation_type|begin|at_some_time|end|occours_before|occours_after|tag|original_begin|original_at_some_time|original_end|sequence
1638936|1638748|Corona di Marco Turcato (da Bibano)|S. Trovaso  (743258)|Parrocchia|45.43079|12.32601|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1638974|1638723|Alessandro di Giuseppe Boccalari (da San Vito, bocaler)|S. Trovaso  (743258)|Parrocchia|45.43079|12.32601|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1638987|1638762|Francesco di Giacomo Giso (da Sacile, calegher)|S. Trovaso  (743258)|Parrocchia|45.43079|12.32601|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1639021|1638798|Giacomo di Francesco Beventani (da Genova, mariner)|S. Pietro di Castello  (743153)|Parrocchia|45.43458|12.3596|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1639053|1638817|Geronimo di Battista Levante (da Genova, mariner)|S. Giovanni in Bragora (743286)|Parrocchia|45.434465|12.346949|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1639066|1638835|Battista di Agostino Bappa (da Genova, patron marciliana)|S. Pietro di Castello  (743153)|Parrocchia|45.43458|12.3596|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1639273|1639259|Angelo di Marco Piccoli (da Chioggia, mariner)|S. Pietro di Castello  (743153)|Parrocchia|45.43458|12.3596|Abitazione|1601.0|1601.0|1601.0|||||1601.0||1
1639384|1639324|Giovanni Battista di Ventura Magili (da Valle San Martino, tornidor)|S. Moisè (743125)|Parrocchia|45.433056|12.336111|Abitazione|1600.0|1600.0|1600.0|||||1600.0||1
1639431|1639355|Vincenzo di Bartolomeo Mazzarelli (da Valle San Martino, tornidor)|S. Moisè (743125)|Parrocchia|45.433056|12.336111|Abitazione|1600.0|1600.0|1600.0|||||1600.0||1
1639522|1639461|Giovanni di Alessandro Pastrovichi (calafato dell'Arsenal)|S. Pietro di Castello  (743153)|Parrocchia|45.43458|12.3596|Abitazione|1601.0|1601.0|1601.0|||||1601.0||0
1640007|1639987|Angelo di Vincenzo Romano (da Ferrara, orese)|S. Silvestro  (743202)|Parrocchia|45.437638|12.333312|Abitazione|1601.0|1601.0|1601.0|||||1601.0||0
1640109|1640063|Barnaba di Cristoforo Lau (dal Cadore, sartor)|S. Lio  (743004)|Parrocchia|45.4375|12.338611|Abitazione|1600.0|1600.0|1600.0|||||1600.0||1
1640159|1640144|Giovanni Pietro Schiettis (orese)|S. Giovanni Elemosinario (1007463)|Parrocchia|45.438769|12.333914|Abitazione e possibile luogo di lavoro   |1601.0|1601.0|1601.0|||||1601.0||0
1640186|1640171|Ercole di Valentino Bizzarri (da Ferrara, orese)|S. Silvestro  (743202)|Parrocchia|45.437638|12.333312|Abitazione|1601.0|1601.0|1601.0|||||1601.0||0
1640397|1639189|Ebrarto di Enrico (dalla Germania, famulus pistoris)|S. Aponal (742853)|Parrocchia|45.43794|12.33261|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1640422|1639202|Carlo di Giovanni Risi (da Villaco, interprete)|S. Luca (743011)|Parrocchia|45.43576|12.33378|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1640436|1639235|Giovanni Snor|S. Sofia  (743223)|Parrocchia|45.441111|12.335|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1640483|1639593|Vincenzo di Giovanni Pellegrini (dalla Diocesi di Concordia, terazer)|S. Benetto (742895)|Parrocchia|45.43565|12.33237|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1640526|1639632|Bernardo di Matteo Florenzi (dalla Diocesi di Concordia, terazer)|S. Angelo  (742839)|Parrocchia|45.433953|12.331963|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1640540|1639657|Gesualdo di Andrea Pasqualutti (dalla Diocesi di Concordia, terazer)|S. Benetto (742895)|Parrocchia|45.43565|12.33237|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1640596|1639891|Liberale di Emanuele Sedecini (da Metellino, mariner)|S. Giovanni in Bragora (743286)|Parrocchia|45.434465|12.346949|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1640626|1639910|Giovanni di Teodoro (da Metellino, sartor)|S. Giovanni in Bragora (743286)|Parrocchia|45.434465|12.346949|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1640644|1639924|Sabo di Gregorio (da Metellino, mariner)|S. Martin (743111)|Parrocchia|45.434639|12.348964|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1640727|1640707|Nicolò di Daniele Iacobelli (da Grizzo, marangon)|S. Marina (743097)|Parrocchia|45.438499|12.339443|Abitazione|1601.0|1601.0|1601.0|||||1601.0||1
1641356|1641336|Battista di Domenico Fassetta (da Grizzo)|S. Zulian (743314)|Parrocchia|45.43581|12.33864|Abitazione|1601.0|1601.0|1601.0|||||1601.0||0
1641399|1641378|Angelo di Domenico Gerbasi (da Grizzo)|S. Zulian (743314)|Parrocchia|45.43581|12.33864|Abitazione|1601.0|1601.0|1601.0|||||1601.0||1
1641495|1641476|Gaspare di Battista Vittori (dal Cadore, forner)|Chioggia (828362)|Città|45.21891|12.27854|Abitazione|1600.0||1601.0||||1600.0|||2
